Borough,County,Grade,Poverty Category,Year,# Total Days,# Days Absent,# Days Present,% Attendance,# Contributing 10+ Total Days and 1+ Pres Day,# Chronically Absent,% Chronically Absent
Staten Island,Richmond,8,Not Poverty,2018-19,317318,19025,298293,94.00444031,1798,287,15.96218014
Staten Island,Richmond,8,Poverty,2018-19,450661,44400,406261,90.14780426,2612,900,34.45635605
Staten Island,Richmond,8,Not Poverty,2019-20,208770,11942,196828,94.27983093,1825,261,14.30136967
Staten Island,Richmond,8,Poverty,2019-20,306539,27996,278543,90.86706543,2729,832,30.48735809
Staten Island,Richmond,8,Not Poverty,2020-21,327014,24843,302171,92.40307617,1886,442,23.43584251
Staten Island,Richmond,8,Poverty,2020-21,472294,81523,390771,82.73892975,2724,1376,50.51395035
Staten Island,Richmond,8,Not Poverty,2021-22,322015,27588,294427,91.43269348,1857,605,32.57942963
Staten Island,Richmond,8,Poverty,2021-22,463212,63996,399216,86.18429565,2690,1381,51.33829117
Staten Island,Richmond,8,Not Poverty,2022-23,304811,23774,281037,92.20040894,1756,466,26.53758621
Staten Island,Richmond,8,Poverty,2022-23,475559,57868,417691,87.83158112,2770,1214,43.82671356
Staten Island,Richmond,9,Not Poverty,2018-19,333278,21247,312031,93.62483978,2033,274,13.47761917
Staten Island,Richmond,9,Poverty,2018-19,480713,63254,417459,86.84162903000001,2940,901,30.64625931
Staten Island,Richmond,9,Not Poverty,2019-20,207032,11294,195738,94.54480743,1914,230,12.01671886
Staten Island,Richmond,9,Poverty,2019-20,340832,39437,301395,88.42919922,3164,979,30.94184494
Staten Island,Richmond,9,Not Poverty,2020-21,299220,22614,276606,92.44235229,1766,328,18.57304573
Staten Island,Richmond,9,Poverty,2020-21,541439,104761,436678,80.65137482,3168,1311,41.38257599
Staten Island,Richmond,9,Not Poverty,2021-22,289887,23964,265923,91.73332977,1752,441,25.17123222
Staten Island,Richmond,9,Poverty,2021-22,521208,78215,442993,84.99351501,3164,1345,42.50948334
Staten Island,Richmond,9,Not Poverty,2022-23,265486,15918,249568,94.0042038,1651,270,16.35372543
Staten Island,Richmond,9,Poverty,2022-23,504837,62553,442284,87.60926819,3179,1115,35.0739212
Staten Island,Richmond,10,Not Poverty,2018-19,348445,21653,326792,93.78582001,2154,359,16.66666603
Staten Island,Richmond,10,Poverty,2018-19,464796,61138,403658,86.84627533,2920,994,34.04109573
Staten Island,Richmond,10,Not Poverty,2019-20,219933,13850,206083,93.70262909,2038,331,16.24141312
Staten Island,Richmond,10,Poverty,2019-20,305359,35679,269680,88.3157196,2863,932,32.55326462
Staten Island,Richmond,10,Not Poverty,2020-21,327259,27341,299918,91.64545441,1908,386,20.23060799
Staten Island,Richmond,10,Poverty,2020-21,506146,100415,405731,80.16086578,2958,1259,42.56254196
Staten Island,Richmond,10,Not Poverty,2021-22,305921,25199,280722,91.76290894,1848,460,24.89177513
Staten Island,Richmond,10,Poverty,2021-22,490315,71228,419087,85.47301483,3011,1320,43.83925629
Staten Island,Richmond,10,Not Poverty,2022-23,290177,19058,271119,93.43228149,1806,314,17.38648987
Staten Island,Richmond,10,Poverty,2022-23,481517,57858,423659,87.98422241,3057,1102,36.04841232
Staten Island,Richmond,11,Not Poverty,2018-19,322875,18332,304543,94.322258,1957,255,13.03014946
